	sno	name	release_year	rating	votes	genres
0	m0	10 things i hate about you	1999	6.9	62847.0	['comedy' 'romance']
1	m1	1492: conquest of paradise	1992	6.2	10421.0	['adventure' 'biography' 'drama' 'history']
2	m2	15 minutes	2001	6.1	25854.0	['action' 'crime' 'drama' 'thriller']
3	m3	2001: a space odyssey	1968	8.4	163227.0	['adventure' 'mystery' 'sci-fi']
4	m4	48 hrs.	1982	6.9	22289.0	['action' 'comedy' 'crime' 'drama' 'thriller']
5	m5	the fifth element	1997	7.5	133756.0	['action' 'adventure' 'romance' 'sci-fi' 'thriller']
6	m6	8mm	1999	6.3	48212.0	['crime' 'mystery' 'thriller']
7	m7	a nightmare on elm street 4: the dream master	1988	5.2	13590.0	['fantasy' 'horror' 'thriller']
8	m8	a nightmare on elm street: the dream child	1989	4.7	11092.0	['fantasy' 'horror' 'thriller']
9	m9	the atomic submarine	1959	4.9	513.0	['sci-fi' 'thriller']
10	m10	affliction	1997	6.9	7252.0	['drama' 'mystery' 'thriller']
11	m11	air force one	1997	6.3	61978.0	['action' 'drama' 'thriller']
12	m12	airplane ii: the sequel	1982	5.8	15210.0	['comedy' 'romance' 'sci-fi']
13	m13	airplane!	1980	7.8	57692.0	['comedy' 'romance']
14	m14	alien nation	1988	6.1	5590.0	['crime' 'drama' 'sci-fi' 'thriller']
15	m15	aliens	1986	8.5	173518.0	['action' 'sci-fi' 'thriller']
16	m16	amadeus	1984	8.4	99138.0	['biography' 'drama' 'music']
17	m17	an american werewolf in london	1981	7.5	24443.0	['horror' 'romance']
18	m18	american madness	1932	7.4	702.0	['drama']
19	m19	american outlaws	2001	5.7	7425.0	['action' 'western']
20	m20	american psycho	2000	7.4	101357.0	['drama' 'thriller']
21	m21	antitrust	2001	6.0	16453.0	['drama' 'thriller']
22	m22	austin powers: international man of mystery	1997	7.1	75240.0	['action' 'adventure' 'comedy' 'crime']
23	m23	the avengers	1998	3.4	21519.0	['action' 'adventure' 'thriller']
24	m24	bachelor party	1984	5.9	14050.0	['comedy' 'romance']
25	m25	backdraft	1991	6.6	28541.0	['action' 'crime' 'drama' 'mystery' 'thriller']
26	m26	bad lieutenant	1992	6.9	13908.0	['crime' 'drama']
27	m27	bamboozled	2000	6.3	5995.0	['comedy' 'drama' 'music']
28	m28	barry lyndon	1975	8.1	40622.0	['drama' 'romance' 'war']
29	m29	basic	2003	6.3	26295.0	['crime' 'drama' 'mystery' 'thriller']
30	m30	big fish	2003	8.1	144264.0	['adventure' 'drama' 'fantasy']
31	m31	birthday girl	2001	6.0	13497.0	['comedy' 'crime' 'romance' 'thriller']
32	m32	black snake moan	2006	7.1	28509.0	['drama']
33	m33	black rain	1989/I	6.4	16249.0	['action' 'crime' 'drama' 'thriller']
34	m34	blade runner	1982	8.3	188735.0	['drama' 'sci-fi' 'thriller']
35	m35	blast from the past	1999	6.4	23489.0	['comedy' 'drama' 'romance']
36	m36	blue velvet	1986	7.8	54576.0	['crime' 'mystery' 'thriller']
37	m37	the boondock saints	1999	7.8	87895.0	['action' 'crime' 'drama' 'thriller']
38	m38	bottle rocket	1996	7.2	22303.0	['comedy' 'crime']
39	m39	the bourne supremacy	2004	7.6	106349.0	['action' 'adventure' 'mystery' 'thriller']
40	m40	braveheart	1995	8.4	245652.0	['action' 'biography' 'drama' 'history' 'war']
41	m41	the butterfly effect	2004	7.8	104917.0	['drama' 'mystery' 'sci-fi' 'thriller']
42	m42	casablanca	1942	8.8	170874.0	['drama' 'romance' 'war']
43	m43	cast away	2000	7.5	104477.0	['adventure' 'drama']
44	m44	the cider house rules	1999	7.5	38836.0	['drama' 'romance']
45	m45	confidence	2003	6.8	17235.0	['crime' 'thriller']
46	m46	croupier	1998	7.2	9060.0	['crime' 'drama']
47	m47	dark star	1974	6.5	8303.0	['comedy' 'sci-fi' 'thriller']
48	m48	dark angel	1990	5.3	3452.0	['action' 'crime' 'drama' 'horror' 'sci-fi' 'thriller']
49	m49	detroit rock city	1999	6.5	14666.0	['comedy' 'music']
50	m50	donnie darko	2001	8.3	215194.0	['drama' 'mystery' 'sci-fi']
